customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,Churn
CUST-10011,Male,0,No,No,32,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),102.74,3314.68,1,No
CUST-10012,Male,1,Yes,Yes,54,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),96.5,5196.35,0,No
CUST-10013,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.13,616.66,2,No
CUST-10014,Female,1,No,No,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,73.23,5286.96,2,No
CUST-10015,Male,1,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.38,299.06,1,No
CUST-10016,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),29.39,1532.12,0,No
CUST-10017,Female,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,106.13,1700.92,2,No
CUST-10018,Female,0,No,No,47,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),57.41,2700.08,1,No
CUST-10019,Male,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.04,439.75,0,Yes
CUST-10020,Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),86.74,531.22,0,Yes
CUST-10021,Male,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.08,1682.0,0,No
CUST-10022,Female,0,No,No,19,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,64.33,1217.87,0,No
CUST-10023,Female,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,104.77,1,Yes
CUST-10024,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.87,1538.09,2,No
CUST-10025,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.71,841.64,0,No
CUST-10026,Female,1,No,No,19,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,60.11,1113.08,2,Yes
CUST-10027,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.51,3122.68,2,No
CUST-10028,Female,1,No,No,22,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,54.78,1219.4,0,No
CUST-10029,Female,0,Yes,No,20,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.8,1187.8,4,Yes
CUST-10030,Male,0,No,No,44,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,83.05,3700.1,0,No
CUST-10031,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.54,954.25,2,No
CUST-10032,Female,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.43,1304.22,1,No
CUST-10033,Female,0,Yes,No,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,58.89,1471.82,1,Yes
CUST-10034,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.19,1283.98,0,No
CUST-10035,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),103.38,1043.19,1,Yes
CUST-10036,Female,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.33,1894.97,1,No
CUST-10037,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,31.02,913.5,1,No
CUST-10038,Male,0,No,No,27,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,90.15,2432.77,0,No
CUST-10039,Male,0,Yes,No,28,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),79.91,2223.93,2,No
CUST-10040,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.85,2785.2,1,No
CUST-10041,Male,0,No,No,25,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),64.04,1599.01,1,No
CUST-10042,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.1,1550.93,3,Yes
CUST-10043,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.72,667.53,1,No
CUST-10044,Female,1,No,No,48,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.77,3698.35,1,Yes
CUST-10045,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.98,3577.03,2,Yes
CUST-10046,Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.55,2357.89,1,Yes
CUST-10047,Male,0,No,No,72,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,65.0,4702.35,3,No
CUST-10048,Female,0,Yes,No,37,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.71,2600.07,1,No
CUST-10049,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.9,292.69,0,No
CUST-10050,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),72.55,236.5,2,No
CUST-10051,Female,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.31,1434.39,1,No
CUST-10052,Male,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),98.3,1967.81,1,Yes
CUST-10053,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.63,430.51,4,Yes
CUST-10054,Male,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.65,839.07,1,No
CUST-10055,Female,0,No,Yes,41,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.15,3650.83,1,No
CUST-10056,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,86.89,1921.3,0,Yes
CUST-10057,Male,0,No,Yes,24,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.93,1630.63,3,Yes
CUST-10058,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),105.26,294.77,0,Yes
CUST-10059,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,103.91,4150.63,1,No
CUST-10060,Male,0,Yes,No,5,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),82.56,418.77,1,No
CUST-10061,Male,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,84.65,1279.93,1,No
CUST-10062,Male,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,104.36,3241.35,1,Yes
CUST-10063,Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.9,351.79,2,Yes
CUST-10064,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,91.88,1371.65,1,Yes
CUST-10065,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.8,954.27,0,Yes
CUST-10066,Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.19,2794.01,0,No
CUST-10067,Male,0,Yes,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,454.82,0,Yes
CUST-10068,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,97.41,192.35,0,Yes
CUST-10069,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,102.34,432.7,1,Yes
CUST-10070,Female,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,83.85,4076.17,3,Yes
CUST-10071,Female,0,No,No,18,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),81.68,1448.88,1,Yes
CUST-10072,Male,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.87,2082.22,0,No
CUST-10073,Female,1,Yes,Yes,30,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,70.36,2117.34,0,No
CUST-10074,Male,1,No,No,72,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,82.59,5962.89,0,No
CUST-10075,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.12,579.81,0,Yes
CUST-10076,Female,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),91.82,1569.3,0,Yes
CUST-10077,Female,0,No,Yes,40,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,57.53,2307.37,1,No
CUST-10078,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),86.66,4777.24,0,No
CUST-10079,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,109.74,2400.0,2,Yes
CUST-10080,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.4,2910.82,0,Yes
CUST-10081,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.66,148.7,2,No
CUST-10082,Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),107.15,1272.24,1,No
CUST-10083,Female,1,No,No,34,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,94.69,3225.02,2,No
CUST-10084,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.38,445.38,1,No
CUST-10085,Male,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.37,705.95,1,No
CUST-10086,Female,0,Yes,No,34,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,68.37,2307.28,1,No
CUST-10087,Male,0,No,No,39,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,94.68,3667.79,2,No
CUST-10088,Female,0,No,No,47,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),92.9,4362.67,0,Yes
CUST-10089,Female,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,35.04,1678.68,2,No
CUST-10090,Female,1,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),82.8,748.39,0,No
CUST-10091,Female,0,No,No,22,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.87,1731.77,1,Yes
CUST-10092,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.06,640.51,2,No
CUST-10093,Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,101.74,2429.7,3,No
CUST-10094,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.74,672.33,0,No
CUST-10095,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),37.44,902.85,2,No
CUST-10096,Female,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31.53,461.94,1,No
CUST-10097,Female,0,No,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.46,1675.18,1,No
CUST-10098,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),95.23,3260.04,1,Yes
CUST-10099,Male,0,Yes,No,15,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,76.04,1130.89,1,No
CUST-10100,Male,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),92.68,2316.81,1,No
CUST-10101,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.94,1721.67,2,No
CUST-10102,Female,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.34,247.17,0,Yes
CUST-10103,Female,0,No,No,12,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),59.65,737.77,0,Yes
CUST-10104,Female,0,Yes,Yes,46,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,74.48,3412.16,2,No
CUST-10105,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),100.09,6919.63,1,No
CUST-10106,Female,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,88.3,2814.09,0,No
CUST-10107,Female,0,No,No,27,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),70.56,1893.79,1,No
CUST-10108,Female,1,No,No,8,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.7,548.21,1,Yes
CUST-10109,Male,1,No,No,17,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.89,1368.46,1,No
CUST-10110,Female,0,No,Yes,17,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),82.41,1413.08,3,No
CUST-10111,Male,0,No,No,17,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,60.76,1004.93,0,Yes
CUST-10112,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),35.3,475.56,0,No
CUST-10113,Female,0,Yes,No,8,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,80.0,658.58,0,No
CUST-10114,Male,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,90.52,3610.82,0,No
CUST-10115,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.73,2833.57,3,Yes
CUST-10116,Male,0,No,No,8,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,55.92,454.74,2,Yes
CUST-10117,Female,1,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.69,587.39,0,No
CUST-10118,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,104.43,1996.11,1,Yes
CUST-10119,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.74,7218.44,3,No
CUST-10120,Female,0,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.92,4138.43,1,No
CUST-10121,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),59.32,4312.36,4,No
CUST-10122,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,97.68,1676.5,0,Yes
CUST-10123,Male,1,No,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,68.66,266.09,1,No
CUST-10124,Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),84.81,731.96,3,Yes
CUST-10125,Female,0,No,No,17,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,81.51,1363.62,3,Yes
CUST-10126,Female,0,No,No,20,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,67.45,1360.24,2,No
CUST-10127,Male,1,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.34,6200.76,3,No
CUST-10128,Female,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),27.45,1202.1,2,No
CUST-10129,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),35.26,1148.15,4,No
CUST-10130,Female,0,No,No,59,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),68.26,3997.67,2,No
CUST-10131,Male,0,No,No,37,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.63,2489.65,0,Yes
CUST-10132,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.88,4664.99,2,No
CUST-10133,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.29,1386.99,0,No
CUST-10134,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.51,210.59,0,No
CUST-10135,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,95.94,461.89,0,Yes
CUST-10136,Male,1,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.69,154.37,4,No
CUST-10137,Male,0,No,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.98,1205.74,2,No
CUST-10138,Male,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,92.78,1138.38,2,Yes
CUST-10139,Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),94.24,1782.55,2,Yes
CUST-10140,Female,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.25,144.04,1,Yes
CUST-10141,Male,1,No,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,98.03,5193.95,0,No
CUST-10142,Female,0,Yes,No,25,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,72.52,1820.64,1,No
CUST-10143,Female,0,No,Yes,30,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,83.88,2519.27,2,Yes
CUST-10144,Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,95.42,3058.12,0,Yes
CUST-10145,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.03,1093.71,1,No
CUST-10146,Male,0,No,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,91.1,5021.4,0,No
CUST-10147,Male,0,No,No,41,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,56.43,2284.61,1,No
CUST-10148,Male,0,No,No,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,63.26,617.5,0,Yes
CUST-10149,Female,1,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,205.62,0,Yes
CUST-10150,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.1,1740.32,1,No
CUST-10151,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),80.55,3927.38,1,No
CUST-10152,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),80.89,5801.52,1,No
CUST-10153,Male,0,No,No,21,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,66.24,1396.32,1,No
CUST-10154,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),88.08,6085.46,3,No
CUST-10155,Female,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.04,721.62,0,No
CUST-10156,Male,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.09,1007.45,2,No
CUST-10157,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.38,682.75,2,No
CUST-10158,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.35,4474.92,1,No
CUST-10159,Female,1,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.83,1209.38,1,No
CUST-10160,Male,0,Yes,No,22,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,71.42,1563.21,3,No
CUST-10161,Male,0,Yes,No,15,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,74.71,1117.04,0,No
CUST-10162,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,32.34,734.03,0,No
CUST-10163,Female,0,Yes,No,25,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,68.65,1685.36,1,Yes
CUST-10164,Female,0,No,No,18,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),89.03,1587.73,1,No
CUST-10165,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),83.97,914.5,1,Yes
CUST-10166,Female,0,Yes,No,26,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.02,1436.28,3,Yes
CUST-10167,Male,0,Yes,No,34,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),70.83,2383.46,0,No
CUST-10168,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,78.69,2348.2,2,No
